,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,split_categories
28,QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4.0,65,0,"{'Smoking': ""u'no'"", 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'GoodForDancing': 'False', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'GoodForKids': 'False', 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'""}","Cocktail Bars, Bars, Italian, Nightlife, Restaurants","{'Monday': '16:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}","['Cocktail Bars', 'Bars', 'Italian', 'Nightlife', 'Restaurants']"
731,PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,PA,19103,39.9515211,-75.1798731,3.5,111,0,"{'BikeParking': 'True', 'RestaurantsTableService': 'True', 'WiFi': ""u'free'"", 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForDancing': 'False', 'HappyHour': 'True', 'DogsAllowed': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'Smoking': ""u'no'"", 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'loud'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""'casual'""}","Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}","['Italian', 'Bars', 'Restaurants', 'Nightlife', 'Wine Bars', 'Breakfast & Brunch']"
2647,IDGg4Ax0iMYBtSKRP0tBbg,Germantown Pizza,1517 N 4th St,Philadelphia,PA,19122,39.9742039,-75.1420764,3.0,20,0,"{'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'""}","Pizza, Restaurants, Italian, Desserts, Food","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '14:0-0:0', 'Saturday': '14:0-0:0', 'Sunday': '12:0-22:0'}","['Pizza', 'Restaurants', 'Italian', 'Desserts', 'Food']"
3260,T8lxi3V2avTVXCanVkAFNg,Pizza Hut,"2715 S Front St, Ste 9",Philadelphia,PA,19148,39.9130548,-75.149704,1.5,25,0,"{'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'OutdoorSeating': 'False', 'GoodForKids': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsAttire': ""u'casual'""}","Italian, Chicken Wings, Restaurants, Pizza","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}","['Italian', 'Chicken Wings', 'Restaurants', 'Pizza']"
3578,H3yoQNhw-AfdLIwScR1zXg,Divino Wine Bar,267 S 19th St,Philadelphia,PA,19103,39.9482333,-75.1726372,3.5,10,0,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HappyHour': 'True'}","Italian, Wine Bars, Restaurants, Bars, Nightlife, Pizza",,"['Italian', 'Wine Bars', 'Restaurants', 'Bars', 'Nightlife', 'Pizza']"
3584,rVfe1LHo55A2fworkm_jVw,Capofitto,233 Chestnut St,Philadelphia,PA,19106,39.9485775068,-75.1450225711,4.5,205,0,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'Smoking': ""u'no'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'HappyHour': 'True', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'HasTV': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'Music': ""{'dj': False}"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False'}","Bars, Gelato, Breakfast & Brunch, Italian, Food, Nightlife, Restaurants, Pizza","{'Monday': '0:0-0:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-21:0'}","['Bars', 'Gelato', 'Breakfast & Brunch', 'Italian', 'Food', 'Nightlife', 'Restaurants', 'Pizza']"
3653,UaovDcnP0QzsmGf6vXvg9w,Rocchino's,239 Chestnut St,Philadelphia,PA,19106,39.948818,-75.1456539,3.0,20,0,"{'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True'}","American (New), Italian, Restaurants","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0'}","['American (New)', 'Italian', 'Restaurants']"
3806,REns5fQe45Nk_D2UwQyr0w,Barra Restaurant,239 Chestnut St,Philadelphia,PA,19106,39.948818,-75.1456539,2.5,117,0,"{'Caters': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'HasTV': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, Bars, Pizza, Nightlife, Italian","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}","['Restaurants', 'Bars', 'Pizza', 'Nightlife', 'Italian']"
4103,BWITd9JUXP3gSi1z3Y-z8g,In Riva,4116 Ridge Ave,Philadelphia,PA,19129,40.0078746,-75.1924072,4.0,729,0,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'BestNights': ""{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': False, u'sunday': False}"", 'HappyHour': 'True', 'DogsAllowed': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsGoodForGroups': 'True'}","Italian, Food, Nightlife, Pizza, Bars, Cocktail Bars, Beer, Wine & Spirits, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}","['Italian', 'Food', 'Nightlife', 'Pizza', 'Bars', 'Cocktail Bars', 'Beer', 'Wine & Spirits', 'Restaurants']"
5735,7x76ngzub3j4PijMHm71nQ,Fratelly Pizza & Restaurant,2383 Cottman Ave,Philadelphia,PA,19149,40.0478786128,-75.0593309498,2.0,20,0,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""'none'"", 'HasTV': 'True', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Pizza, Italian, Sandwiches, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}","['Pizza', 'Italian', 'Sandwiches', 'Restaurants']"
