"","X","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours","split_categories","X","ByAppointmentOnly","BusinessAcceptsCreditCards","BikeParking","RestaurantsPriceRange2","CoatCheck","RestaurantsTakeOut","RestaurantsDelivery","Caters","WiFi","BusinessParking","WheelchairAccessible","HappyHour","OutdoorSeating","HasTV","RestaurantsReservations","DogsAllowed","Alcohol","GoodForKids","RestaurantsAttire","Ambience","RestaurantsTableService","RestaurantsGoodForGroups","DriveThru","NoiseLevel","GoodForMeal","BusinessAcceptsBitcoin","Smoking","Music","GoodForDancing","AcceptsInsurance","BestNights","BYOB","Corkage","BYOBCorkage","HairSpecializesIn","Open24Hours","RestaurantsCounterService","AgesAllowed","DietaryRestrictions"
"1",3,"MTSW4McQd7CbVtyjqoe9mw","St Honore Pastries","935 Race St","Philadelphia","PA",19107,39.9555052,-75.1555641,4,80,1,"{'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Caters': 'True'}","Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}","['Restaurants', 'Food', 'Bubble Tea', 'Coffee & Tea', 'Bakeries']",28,"","True","True",2,"","True","True","False","u'free'","{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}","","True","False","True","False","","u'full_bar'","False","'casual'","{'touristy': False, 'hipster': True, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}","True","True","","u'average'","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}","","u'no'","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","False",NA,"","","","",NA,NA,NA,NA,NA
"2",246,"MyE_zdul_JO-dOHOug4GQQ","Watson Adventures Scavenger Hunts","","Philadelphia","PA",19019,40.1197128,-75.0097103,3,8,1,"{'BusinessAcceptsCreditCards': 'True'}","Local Flavor, Team Building Activities, Active Life, Arts & Entertainment, Event Planning & Services, Walking Tours, Scavenger Hunts, Museums, Hotels & Travel, Tours","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}","['Local Flavor', 'Team Building Activities', 'Active Life', 'Arts & Entertainment', 'Event Planning & Services', 'Walking Tours', 'Scavenger Hunts', 'Museums', 'Hotels & Travel', 'Tours']",731,"","True","True",2,"","True","True","True","u'free'","{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}","True","True","True","True","True","False","u'full_bar'","True","'casual'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}","True","True","","u'loud'","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","False","u'no'","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","False",NA,"","","","",NA,NA,NA,NA,NA
"3",821,"JomDoQafikclSVVCPkWjnA","Cedar Park Cafe","4914 Baltimore Ave","Philadelphia","PA",19143,39.94796,-75.22198,4,301,1,"{'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'HappyHour': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True'}","Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:30', 'Sunday': '7:0-15:30'}","['Diners', 'Restaurants', 'Sandwiches', 'Breakfast & Brunch', 'Vegetarian']",2647,"","True","True",1,"","True","True","","u'no'","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","True","","True","","False","","u'none'","True","u'casual'","","","True","","u'average'","{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","","","","",NA,"","","","",NA,NA,NA,NA,NA
"4",1022,"EraDGJAHjf5IaA9VBGepfg","East Falls Chiropractic: Zachary Dillow, D.C","3425 Conrad St","Philadelphia","PA",19129,40.0120136,-75.1890675,4.5,16,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True'}","Gastroenterologist, Chiropractors, Nutritionists, Doctors, Health & Medical","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '8:0-13:0', 'Thursday': '15:0-19:0', 'Friday': '9:0-13:0'}","['Gastroenterologist', 'Chiropractors', 'Nutritionists', 'Doctors', 'Health & Medical']",3260,"","True","False",1,"","True","True","True","","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","False","False","False","","u'none'","False","u'casual'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","False","","","","","","","",NA,"","","","",NA,NA,NA,NA,NA
"5",1168,"0346ZLBXCnsGief7r2kmQQ","Salon Tenshi","537 N 10th St","Philadelphia","PA",19123,39.962145,-75.1542303,4,17,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'WheelchairAccessible': 'False', 'ByAppointmentOnly': 'True'}","Beauty & Spas, Nail Salons, Hair Salons","{'Tuesday': '12:0-15:0', 'Wednesday': '8:0-19:30', 'Thursday': '8:0-19:30', 'Friday': '8:0-19:30', 'Saturday': '7:0-16:30', 'Sunday': '7:0-14:0'}","['Beauty & Spas', 'Nail Salons', 'Hair Salons']",3578,"","True","",2,"","True","False","","","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","True","True","","True","","u'full_bar'","False","u'casual'","","","True","","","","","","","",NA,"","","","",NA,NA,NA,NA,NA
"6",1248,"FppJo5aymUsfOg68uTOipw","The Inn at The Union League","1450 Sansom","Philadelphia","PA",19103,39.9502330538,-75.1651874081,3.5,19,1,"{'RestaurantsPriceRange2': '3', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels","","['Hotels & Travel', 'Event Planning & Services', 'Hotels']",3584,"","True","True",2,"False","True","True","True","u'free'","{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","True","False","False","True","False","u'full_bar'","True","'casual'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","True","True","","u'average'","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","False","u'no'","{'dj': False}","False",NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}","","","",NA,NA,NA,NA,NA
"7",1315,"nBr6NgqcZz1GhtAngU0RSQ","Forin Cafe","2041 Coral St, Ste 2","Philadelphia","PA",19125,39.9813471541,-75.1322471288,4.5,10,1,"{'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False'}","Shopping, Restaurants, Cafes, Fashion","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}","['Shopping', 'Restaurants', 'Cafes', 'Fashion']",3653,"","True","",3,"","True","False","","u'no'","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","True","True","True","True","","u'full_bar'","True","u'casual'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","","True","","u'average'","","","","","",NA,"","","","",NA,NA,NA,NA,NA
"8",1385,"icbe_DxKtXG2p3KlJsqYig","Margarita's Beauty Salon","1614 Spruce St","Philadelphia","PA",19103,39.9473144,-75.1687372,4.5,6,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Hair Salons, Beauty & Spas, Barbers","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0', 'Saturday': '8:30-15:0'}","['Hair Salons', 'Beauty & Spas', 'Barbers']",3806,"","True","True",2,"","True","True","True","u'free'","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","True","True","True","True","","u'full_bar'","False","u'casual'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","","True","","u'average'","","","","","",NA,"","","","",NA,NA,NA,NA,NA
"9",1437,"68ThEdiK0eWCEgGEmV9Tng","Southgate","1801 Lombard St","Philadelphia","PA",19146,39.9455687,-75.1717901,4,323,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'Alcohol': ""u'full_bar'"", 'Corkage': 'True', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'True', 'Caters': 'False', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsBitcoin': 'False', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'BYOB': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}""}","Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '14:0-22:0', 'Sunday': '14:0-21:0'}","['Breakfast & Brunch', 'American (Traditional)', 'Korean', 'Restaurants', 'Gastropubs', 'Nightlife', 'Bars', 'Cocktail Bars']",4103,"","True","True",2,"","True","True","False","u'free'","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","","True","True","True","True","True","u'full_bar'","True","u'casual'","{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}","True","True","","u'average'","{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}","","","","",NA,"{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': False, u'sunday': False}","","","",NA,NA,NA,NA,NA
"10",2217,"00Vn4VUTWl71_cFPziRQNQ","Crab & Claw","7801 Ogontz Ave","Philadelphia","PA",19150,40.0719622,-75.157311,3,65,1,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'RestaurantsTakeOut': 'True'}","Seafood Markets, Specialty Food, Food","{'Monday': '9:30-21:0', 'Tuesday': '9:30-21:0', 'Wednesday': '9:30-21:0', 'Thursday': '9:30-21:0', 'Friday': '9:30-22:0', 'Saturday': '9:30-22:0', 'Sunday': '10:30-18:30'}","['Seafood Markets', 'Specialty Food', 'Food']",5735,"","True","",1,"","True","True","","'no'","","","","","True","False","","'none'","True","'casual'","","","True","","","","","","","",NA,"","","","",NA,NA,NA,NA,NA
