"","X","star","population","homi","WiFi","RestaurantsAttire","Alcohol","NoiseLevel","OutdoorSeating","RestaurantsDelivery","GoodForKids","RestaurantsPriceRange2","Smoking"
"1",1,4.5,2873,104.4204664,"free","casual","none","average","FALSE","TRUE",FALSE,3,NA
"2",2,4.5,2873,104.4204664,"no",NA,"none",NA,"TRUE","TRUE",TRUE,NA,NA
"3",3,4,2603,38.41721091,NA,NA,"none",NA,"TRUE","FALSE",NA,NA,NA
"4",4,4,5507,54.4761213,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"5",5,4,2803,392.436675,"no","casual","none","average","FALSE","FALSE",TRUE,1,NA
"6",6,4,3967,781.4469372,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"7",7,4,2682,74.57121551,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"8",8,3.5,1681,59.48839976,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"9",9,4,2682,74.57121551,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"10",10,3.5,1826,109.5290252,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"11",11,4.5,4324,115.6336725,"free",NA,"none",NA,"TRUE","TRUE",NA,NA,NA
"12",12,4.5,4324,115.6336725,"no","casual","none","average","FALSE","FALSE",TRUE,2,NA
"13",13,4,3169,220.8898706,"no","casual","none","loud","FALSE","TRUE",TRUE,1,NA
"14",14,3.5,2873,104.4204664,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"15",15,3.5,6040,66.22516556,"no","casual","full_bar","average","FALSE","FALSE",TRUE,2,NA
"16",16,3,2884,312.0665742,"no","casual","beer_and_wine","average","TRUE","TRUE",TRUE,1,NA
"17",17,4.5,3609,27.70850651,"no","casual","full_bar","average","TRUE","TRUE",FALSE,2,NA
"18",18,3.5,4244,141.3760603,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"19",19,2.5,1433,279.1346825,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"20",20,3.5,1781,0,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"21",21,3.5,1781,0,"no","casual","full_bar","average","TRUE","TRUE",TRUE,1,"no"
"22",22,4,2922,68.44626968,"free","casual","beer_and_wine","average","TRUE","TRUE",TRUE,2,NA
"23",23,4,5231,95.58401835,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"24",24,4,2884,312.0665742,"no","casual","beer_and_wine","average","FALSE","TRUE",TRUE,1,NA
"25",25,4.5,2803,392.436675,"free",NA,"none",NA,"TRUE","TRUE",NA,NA,NA
"26",26,3.5,3609,27.70850651,"free",NA,"none",NA,"TRUE","TRUE",NA,NA,NA
"27",27,4.5,2659,0,"no","dressy","full_bar","average","TRUE","None",FALSE,4,NA
"28",28,3.5,1265,1343.873518,"no","casual",NA,"quiet","None","TRUE",NA,1,NA
"29",29,4,5507,54.4761213,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"30",30,4.5,4998,40.0160064,"no","casual","none","average","TRUE","FALSE",TRUE,1,NA
"31",31,4,2504,479.2332268,"no","casual","full_bar","average","TRUE","None",FALSE,2,"yes"
"32",32,3,2803,392.436675,"free","casual","none","average","TRUE","TRUE",TRUE,1,NA
"33",33,3.5,2125,470.5882353,"free","casual","none","average","FALSE","TRUE",FALSE,2,NA
"34",34,3.5,3478,287.5215641,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"35",35,5,4998,40.0160064,NA,NA,NA,NA,NA,"",NA,NA,NA
"36",36,4,6599,45.46143355,"no","casual","full_bar","average","FALSE","FALSE",TRUE,2,NA
"37",37,3,5766,121.4013181,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
"38",38,4.5,4998,40.0160064,"free","casual","none","average","TRUE","FALSE",TRUE,1,NA
"39",39,3,2682,74.57121551,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"40",40,4,3169,220.8898706,NA,"casual","none",NA,"FALSE","TRUE",NA,NA,NA
"41",41,4.5,2873,104.4204664,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"42",42,3,7662,65.25711303,"free","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"43",43,2.5,13,0,"free",NA,NA,NA,NA,"FALSE",FALSE,2,NA
"44",44,4,2682,74.57121551,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
"45",45,3.5,1826,109.5290252,"free","casual","none","average","FALSE","FALSE",TRUE,1,NA
"46",46,4,3609,27.70850651,"free","casual","beer_and_wine","average","None","TRUE",TRUE,2,NA
"47",47,3.5,3201,406.1230865,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
