name,address,postal_code,latitude,longitude,stars,review_count,is_open,BusinessAcceptsCreditCards,BikeParking,RestaurantsPriceRange2,RestaurantsTakeOut,RestaurantsDelivery,Caters,WiFi,WheelchairAccessible,HappyHour,OutdoorSeating,HasTV,RestaurantsReservations,DogsAllowed,Alcohol,GoodForKids,RestaurantsAttire,RestaurantsTableService,RestaurantsGoodForGroups,DriveThru,NoiseLevel,BusinessAcceptsBitcoin,Smoking,Corkage,zipcode
Angelina's,743 S 8th St,19147,39.94022122,-75.15579667,4.5,49,1,FALSE,NA,3,,TRUE,NA,free,NA,NA,FALSE,TRUE,TRUE,NA,none,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19147
O Sole Mio,250 Catharine St,19147,39.9378287,-75.1482632,4.5,85,1,TRUE,NA,NA,TRUE,TRUE,TRUE,no,TRUE,FALSE,TRUE,TRUE,TRUE,NA,none,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,19147
Buca D’Oro ,711 Locust St,19106,39.94707721,-75.15416555,4,5,1,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE,NA,,NA,none,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,19106
PrimoHoagies,1528 W Ritner St,19145,39.9209271,-75.1733058,4,43,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,FALSE,19145
Los Compadres,3300 Market St,19145,39.9553865,-75.1910637,4,12,1,TRUE,TRUE,1,TRUE,FALSE,NA,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,FALSE,TRUE,NA,average,NA,NA,NA,19145
Lazos Pizza & Grill,2533 Poplar St,19130,39.9727751,-75.17898709,4,176,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19130
Ricci's Hoagies,1165 S 11th St,19147,39.9353601,-75.1615836,4,67,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,TRUE,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,FALSE,19147
Pina's Pizza,8919 Ridge Ave,19128,40.0694581,-75.2398454,3.5,47,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19128
George's Sandwich Shop,900 S 9th St,19147,39.9388316,-75.15798463,4,93,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,no,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19147
Maria's Ristorante on Summit,8100 Ridge Ave,19128,40.0567171,-75.2363521,3.5,98,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19128
Izzy's 33,1703 S 9th St,19148,39.92800432,-75.16004462,4.5,24,1,TRUE,FALSE,NA,TRUE,TRUE,TRUE,free,FALSE,NA,TRUE,FALSE,,NA,none,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,19148
P & S Ravioli,1640 S 10th St,19148,39.928473,-75.1619827,4.5,6,1,NA,NA,2,TRUE,FALSE,NA,no,NA,NA,FALSE,NA,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19148
Zio Pizza Palace & Grill,157 N 9th St,19107,39.955065,-75.1541846,4,43,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,TRUE,NA,FALSE,TRUE,FALSE,FALSE,none,TRUE,casual,FALSE,FALSE,NA,loud,FALSE,NA,FALSE,19107
Ralphs Italian Restaurant,760 S 9th St,19147,39.9400584,-75.1578655,3.5,653,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,FALSE,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19147
Frank's Spaghetti House,7602 Castor Ave,19152,40.056184,-75.061858,3.5,43,1,TRUE,FALSE,2,TRUE,FALSE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19152
Allegro Pizza,3942 Spruce St,19104,39.9514453,-75.2029159,3,221,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,TRUE,TRUE,FALSE,NA,beer_and_wine,TRUE,casual,NA,TRUE,NA,average,NA,NA,TRUE,19104
Trattoria Carina,2201 Spruce St,19103,39.9488052,-75.1779537,4.5,213,1,TRUE,TRUE,2,TRUE,TRUE,NA,no,NA,FALSE,TRUE,FALSE,TRUE,FALSE,full_bar,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19103
Al's Italiano Pizzeria & Ristorante,8202 Roosevelt Blvd,19152,40.0605711,-75.0448466,3.5,23,1,TRUE,FALSE,1,TRUE,TRUE,NA,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,NA,19152
Giovanni's Pizzeria,5604 Greene St,19144,40.0334795,-75.1758562,2.5,46,1,TRUE,TRUE,1,TRUE,TRUE,FALSE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,NA,19144
PrimoHoagies,128 S 11th St,19107,39.94921619,-75.15905223,3.5,65,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19107
Top Tomato Bar & Pizza,116 S 11th St,19107,39.9495688,-75.1589615,3.5,232,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,TRUE,TRUE,TRUE,TRUE,None,FALSE,full_bar,TRUE,casual,TRUE,TRUE,NA,average,FALSE,no,FALSE,19107
Pizzeria Vetri,1939 Callowhill St,19130,39.960888,-75.171213,4,651,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,beer_and_wine,TRUE,casual,TRUE,TRUE,NA,average,FALSE,NA,NA,19130
SALERNO'S Ristorante & Pizzeria,6500-02 Rising Sun Ave,19111,40.0512797,-75.0943052,4,44,1,TRUE,FALSE,1,None,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19111
Pasqually's Pizza,200 S 43rd St,19104,39.9545323,-75.2089392,4,96,1,TRUE,FALSE,1,TRUE,TRUE,FALSE,no,TRUE,NA,FALSE,TRUE,FALSE,NA,beer_and_wine,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19104
Pitruco Pizza Franklin's Table,3401 Walnut St,19104,39.9529913,-75.1922872,4.5,11,1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,free,TRUE,NA,TRUE,FALSE,,NA,none,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,19104
Bistro La Baia,1700 Lombard St,19146,39.945162,-75.1702591,3.5,225,1,TRUE,FALSE,NA,TRUE,TRUE,TRUE,free,TRUE,TRUE,TRUE,FALSE,TRUE,NA,none,NA,NA,TRUE,NA,NA,NA,FALSE,NA,FALSE,19146
Vetri Cucina,1312 Spruce St,19107,39.9466441,-75.1631867,4.5,489,1,TRUE,TRUE,4,TRUE,None,FALSE,no,NA,NA,TRUE,TRUE,TRUE,NA,full_bar,FALSE,dressy,TRUE,FALSE,NA,average,NA,NA,NA,19107
1 Stop Pizza,3701 Germantown Ave,19140,40.0093835,-75.1506617,3.5,8,1,TRUE,NA,1,TRUE,TRUE,NA,no,TRUE,NA,None,NA,,NA,NA,NA,casual,FALSE,NA,FALSE,quiet,NA,NA,NA,19140
Scannicchio's,2500 S Broad & Porter,19145,39.919346,-75.171033,4,187,1,FALSE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,FALSE,19145
Italiano's,2551 S 12th St,19148,39.917764,-75.1671583,4.5,51,1,FALSE,FALSE,1,TRUE,FALSE,FALSE,no,NA,NA,TRUE,FALSE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,FALSE,NA,NA,19148
Murph's Bar,202 E Girard Ave,19125,39.9689397,-75.1334333,4,315,1,TRUE,TRUE,2,TRUE,None,FALSE,no,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,FALSE,casual,TRUE,TRUE,NA,average,NA,yes,NA,19125
Axis Pizza,20 S 36th St,19104,39.9553365,-75.1946097,3,159,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,free,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,FALSE,average,NA,NA,NA,19104
Porcini,2048 Sansom St,19103,39.951348,-75.1751139,3.5,317,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,free,NA,NA,FALSE,FALSE,TRUE,NA,none,FALSE,casual,NA,FALSE,NA,average,NA,NA,FALSE,19103
Revolution House,200 Market St,19106,39.9497082,-75.1439349,3.5,554,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,free,NA,TRUE,TRUE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19106
Mediterranean Banquet Hall,2033 S Bancroft St,19145,39.92530586,-75.17329108,5,10,1,TRUE,NA,NA,TRUE,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19145
